id,name,proposal_count,git_repo,local_path,prj_url,description,last_update
PRJ-20250416-001,todolist,11,https://github.com/YeLuo45/todo-list,/home/hermes/.hermes/proposals/workspace-dev/proposals/todo-list,https://yeluo45.github.io/todo-list/,甘特图时间线视图 + 循环任务自动生成下一周期,2026-05-15
PRJ-20250416-002,game-1024,6,https://github.com/YeLuo45/game-1024,/home/hermes/.hermes/proposals/workspace-dev/proposals/game-1024,https://yeluo45.github.io/game-1024/,每日挑战(固定初始盘面+得分排名)+10个成就(解锁弹窗+奖励)；参考3D打地鼠V4实现,2026-05-02
PRJ-20250418-003,harness-desktop,2,https://github.com/YeLuo45/harness-desktop,/home/hermes/.hermes/proposals/workspace-dev/proposals/harness-desktop,https://yeluo45.github.io/harness-desktop/,v2 迭代已完成交付：①Sub Agent（共享KV Cache + 任务队列 + 依赖管理）②Verification Hooks后台分类器（strict/loose/disabled三档 + auto-retry）③4个新工具（edit_code/project_tree/web_search/task_plan）；llmBridge.ts MVP_TOOLS→V2_TOOLS 已修复；Vite build成功；electron-builder打包受限WSL环境（需Windows本机执行）,2026-05-15
PRJ-20260412-008,ai-subscription,19,https://github.com/YeLuo45/ai-subscription,/home/hermes/.hermes/proposals/workspace-dev/proposals/ai-subscription,https://yeluo45.github.io/ai-subscription/,规则引擎：触发器(keyword/sentiment/source)+动作(add_tag/Telegram/Webhook/星标)，WorkflowEngine异步执行,2026-05-05
PRJ-20260412-009,ai-stock-simulation,6,https://github.com/YeLuo45/ai-stock-simulation,/home/hermes/.hermes/proposals/workspace-dev/proposals/ai-stock-simulation,https://yeluo45.github.io/ai-stock-simulation/,K线主图+MA5/10/20；MACD副图(DIF/DEA/柱子)；RSI副图+30/70线；KDJ副图；十字光标同步；timeScale同步；npm build成功,2026-05-05
PRJ-20260417-001,prj-proposals-manager,2,https://github.com/YeLuo45/prj-proposals-manager,/home/hermes/.hermes/proposals/workspace-dev/proposals/prj-proposals-manager,https://yeluo45.github.io/prj-proposals-manager/,提案管理系统；完整CRUD；GitHub API操作JSON数据；已与提案管理系统单向同步；仓库已于2026-05-03从 proposals-manager 更名为 prj-proposals-manager,2026-05-02
PRJ-20260417-002,android-hello,20,https://github.com/YeLuo45/android-hello,/home/hermes/.hermes/proposals/workspace-dev/proposals/android-hello,https://yeluo45.github.io/android-hello/,"Android Kotlin MVVM+Compose+Hilt；minSdk 24, targetSdk 34；V2.0.0 -> V3.6.0；R8压缩APK 8.2MB",2026-05-10
PRJ-20260418-001,monopoly3d,1,https://github.com/YeLuo45/monopoly3d,/home/hermes/.hermes/proposals/workspace-dev/proposals/monopoly3d,https://yeluo45.github.io/monopoly3d/,Vite + React + Three.js + @react-three/fiber + Tailwind CSS 3；3D 大富翁桌游；Node 18 兼容性问题修复（Tailwind v4→v3，Vite v8→v5）；已部署 GitHub Pages；项目文件（含构建产物）推送至 gh-pages 分支,2026-04-18
PRJ-20260418-002,creative-drawing-board,40,https://github.com/YeLuo45/creative-drawing-board,/home/hermes/.hermes/proposals/workspace-dev/proposals/creative-drawing-board,https://yeluo45.github.io/creative-drawing-board/,P0学习记录系统(localStorage统计+12成就徽章+画廊)+P1贴纸编辑(选中/拖拽/缩放/旋转/层级)；V3 2401行→V4 3547行,2026-04-29
PRJ-20260418-004,future-little-leaders,3,https://github.com/YeLuo45/future-little-leaders,/home/hermes/.hermes/proposals/workspace-dev/proposals/future-little-leaders,https://yeluo45.github.io/future-little-leaders/,家庭成员角色系统 + 任务归属 + 家庭共享任务池 + 宝宝头像优化 + 家庭数据概览；cron P-20260502-017-tech-confirm 重复触发(2026-05-11)，状态已存在，仅记录时间戳,2026-05-05
PRJ-20260418-005,todo-app,1,https://github.com/YeLuo45/todo-app,/home/hermes/.hermes/proposals/workspace-dev/proposals/todo-app,https://yeluo45.github.io/todo-app/,Todo应用；Web版+Vite构建+Electron桌面客户端(electron-builder打包)；NSIS安装包+便携版,2026-04-20
PRJ-20260419-001,temple-run,3,https://github.com/YeLuo45/temple-run,/home/hermes/.hermes/proposals/workspace-dev/proposals/temple-run,https://yeluo45.github.io/temple-run/,类Temple Run无尽跑酷；2.5D侧视角；3条跑道左右切换；跳跃/下滑操作；金币收集；React 18 + Vite 5 + PWA；Web版已部署,2026-04-19
