id,name,proposal_count,git_repo,local_path,description,last_update
PRJ-20260412-009,ai-stock-simulation,6,https://github.com/YeLuo45/ai-stock-simulation,https://yeluo45.github.io/ai-stock-simulation,K线主图+MA5/10/20；MACD副图(DIF/DEA/柱子)；RSI副图+30/70线；KDJ副图；十字光标同步；timeScale同步；npm build成功,2026-05-10
PRJ-20260417-002,android-hello,20,https://github.com/YeLuo45/android-hello,https://yeluo45.github.io/android-hello,"Android Kotlin MVVM+Compose+Hilt；minSdk 24, targetSdk 34；V2.0.0 -> V3.6.0；R8压缩APK 8.2MB",2026-05-10
PRJ-20260418-001,monopoly3d,1,https://github.com/YeLuo45/monopoly3d,https://yeluo45.github.io/monopoly3d,Vite + React + Three.js + @react-three/fiber + Tailwind CSS 3；3D 大富翁桌游；Node 18 兼容性问题修复（Tailwind v4→v3，Vite v8→v5）；已部署 GitHub Pages；项目文件（含构建产物）推送至 gh-pages 分支,2026-04-18
PRJ-20260418-004,future-little-leaders,3,https://github.com/YeLuo45/future-little-leaders,https://yeluo45.github.io/future-little-leaders,家庭成员角色系统 + 任务归属 + 家庭共享任务池 + 宝宝头像优化 + 家庭数据概览；cron P-20260502-017-tech-confirm 重复触发(2026-05-11)，状态已存在，仅记录时间戳,2026-05-10
PRJ-20260418-005,todo-app,1,https://github.com/YeLuo45/todo-app,https://yeluo45.github.io/todo-app,Todo应用；Web版+Vite构建+Electron桌面客户端(electron-builder打包)；NSIS安装包+便携版,2026-04-18
PRJ-20260419-001,temple-run,3,https://github.com/YeLuo45/temple-run,https://yeluo45.github.io/temple-run,类Temple Run无尽跑酷；2.5D侧视角；3条跑道左右切换；跳跃/下滑操作；金币收集；React 18 + Vite 5 + PWA；Web版已部署,2026-05-05
PRJ-20260419-002,tank-battle,1,https://github.com/YeLuo45/tank-battle,https://yeluo45.github.io/tank-battle,坦克大战；13x13网格；WASD/方向键移动+空格射击；4种地形(砖块/钢铁/草丛/河流)；AI巡逻+追击；保护老鹰基地；3分钟倒计时,2026-04-19
PRJ-20260419-003,dont-step-white,13,https://github.com/YeLuo45/dont-step-white,https://yeluo45.github.io/dont-step-white,4维度排行榜(全球/本地/好友/关卡)；Tab切换；预置模拟玩家+本地插入；好友码系统；关卡挑战榜(剧情30关+每日挑战)；Top3奖牌图标+我的排名金色高亮,2026-05-10
PRJ-20260419-005,TradingAgents-CN,2,https://github.com/YeLuo45/TradingAgents-CN,https://yeluo45.github.io/TradingAgents-CN,AI 量化交易代理系统；Python 3.10+；混合许可证（Apache 2.0 开源 + 专有前端后端需商业授权）；包含 FastAPI 后端 + Vue 前端 + Docker 部署；基于 TauricResearch/TradingAgents,2026-05-10
PRJ-20260421-003,personalClaw,1,https://github.com/YeLuo45/personalClaw,https://yeluo45.github.io/personalClaw,OpenClaw PC控制平台；Electron + React 18 + Ant Design + node-cron；桌面管理功能,2026-04-21
PRJ-20260422-001,ai-novel-assistant,6,https://github.com/YeLuo45/ai-novel-assistant,https://yeluo45.github.io/ai-novel-assistant,M1章节版本历史(chapterVersions表+版本列表+diff对比+恢复) + M2敏感词检测(5类敏感词+高亮标记+替换建议),2026-05-10
PRJ-20260423-001,room-escape-puzzle,1,https://github.com/YeLuo45/room-escape-puzzle,https://yeluo45.github.io/room-escape-puzzle,解谜游戏原型验证,2026-04-23
PRJ-20260423-002,little-garden,1,https://github.com/YeLuo45/little-garden,https://yeluo45.github.io/little-garden,育儿游戏（3-12岁）；养成照顾类（宠物+种植）；纯HTML5/JS；完整GDD + 可运行游戏,2026-04-23
PRJ-20260423-005,hermes-agent-collab,3,https://github.com/YeLuo45/hermes-agent-collab,https://yeluo45.github.io/hermes-agent-collab,Phase 1-4 全部功能已验收通过。Phase 4 UI（任务Agent选择/对话UI/工作区CRUD/技能编辑）已部署 gh-pages: https://yeluo45.github.io/hermes-agent-collab/。注：Web UI 为纯静态前端，需后端 `collab server` 启动才能完整使用。,2026-05-10
